INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
490;BAHIA;MUNDO NOVO;3994964
491;BAHIA;MUNIZ FERREIRA;1158469
492;BAHIA;MURITIBA;3927867
493;BAHIA;MUTUIPE;3394215
494;BAHIA;NAZARE;3905941
495;BAHIA;NILO PECANHA;1945995
496;BAHIA;NOVA CANAA;2481996
497;BAHIA;NOVA ITARANA;1329277
498;BAHIA;NOVA SOURE;4765876
499;BAHIA;NOVA VICOSA;4341984
500;BAHIA;OLINDINA;4245474
501;BAHIA;OLIVEIRA DOS BREJINHOS;3637351
502;BAHIA;OURICANGAS;1272564
503;BAHIA;PALMAS DE MONTE ALTO;3646603
504;BAHIA;PALMEIRAS;1303980
505;BAHIA;PARAMIRIM;2660424
506;BAHIA;PARATINGA;5408810
507;BAHIA;PARIPIRANGA;4333738
508;BAHIA;PAU BRASIL;2219495
509;BAHIA;PAULO AFONSO;13627047
510;BAHIA;PEDRAO;1170619
511;BAHIA;PEDRO ALEXANDRE;2999838
512;BAHIA;PIATA;3054042
513;BAHIA;PILAO ARCADO;6999253
514;BAHIA;PINDAI;2459123
515;BAHIA;PINDOBACU;3502368
516;BAHIA;PIRIPA;1658557
517;BAHIA;PIRITIBA;3640953
518;BAHIA;PLANALTINO;1442940
519;BAHIA;PLANALTO;3288681
520;BAHIA;POCOES;7152266
521;BAHIA;POJUCA;3598186
522;BAHIA;PORTO SEGURO;14797540
523;BAHIA;POTIRAGUA;1443467
524;BAHIA;PRADO;3993718
525;BAHIA;PRESIDENTE DUTRA;2475568
526;BAHIA;PRESIDENTE JANIO QUADROS;2359797
527;BAHIA;QUEIMADAS;5099287
528;BAHIA;QUIJINGUE;5556187
529;BAHIA;REMANSO;7127657
530;BAHIA;RETIROLANDIA;2010903
531;BAHIA;RIACHAO DAS NEVES;4216653
532;BAHIA;RIACHAO DO JACUIPE;5197211
533;BAHIA;RIACHO DE SANTANA;5229374
534;BAHIA;RIBEIRA DO AMPARO;2649783
535;BAHIA;RIBEIRA DO POMBAL;8179526
536;BAHIA;RIO DE CONTAS;1849264
537;BAHIA;RIO DO ANTONIO;2418912
538;BAHIA;RIO DO PIRES;1632625
539;BAHIA;RIO REAL;5949368
540;BAHIA;RODELAS;1287835
541;BAHIA;RUY BARBOSA;4877564
542;BAHIA;SALINAS DA MARGARIDA;2062420
543;BAHIA;SALVADOR;185368704
544;BAHIA;SANTA BARBARA;3451676
545;BAHIA;SANTA BRIGIDA;3060862
546;BAHIA;SANTA CRUZ CABRALIA;3439649
547;BAHIA;SANTA CRUZ DA VITORIA;904653
548;BAHIA;SANTA INES;1671632
549;BAHIA;SANTALUZ;6052288
550;BAHIA;SANTA MARIA DA VITORIA;6681892
551;BAHIA;SANTANA;3993457
